SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,FLOOD_RISK,MONSOON,PRE_MONSOON,POST_MONSOON,WINTER,MONSOON_RATIO,RAIN_ANOMALY,PREV_YEAR_RAIN
KERALA,1901,28.7,44.7,51.6,160.0,174.7,824.6,743.0,357.5,197.7,266.9,350.8,48.4,3248.6,73.4,386.2,2122.8,666.1,High,2122.7999999999997,386.29999999999995,617.7,121.8,0.6534507172320384,0.7654651517322505,2925.487826086957
KERALA,1902,6.7,2.6,57.3,83.9,134.5,390.9,1205.0,315.8,491.6,358.4,158.3,121.5,3326.6,9.3,275.7,2403.4,638.2,High,2403.3,275.7,516.7,130.79999999999998,0.7224493476823184,0.9502501479521201,3248.6
KERALA,1903,3.2,18.6,3.1,83.6,249.7,558.6,1022.5,420.2,341.8,354.1,157.0,59.0,3271.2,21.7,336.3,2343.0,570.1,High,2343.1,336.4,511.1,80.80000000000001,0.7162814869161164,0.8190054198677509,3326.6
KERALA,1904,23.7,3.0,32.2,71.5,235.7,1098.2,725.5,351.8,222.7,328.1,33.9,3.3,3129.7,26.7,339.4,2398.2,365.3,Medium,2398.2,339.4,362.0,30.0,0.7662715276224558,0.48378648441760275,3271.2
KERALA,1905,1.2,22.3,9.4,105.9,263.3,850.2,520.5,293.6,217.2,383.5,74.4,0.2,2741.6,23.4,378.5,1881.5,458.1,Medium,1881.5000000000002,378.6,457.9,23.7,0.6862780857893203,-0.4356373236969024,3129.7
KERALA,1906,26.7,7.4,9.9,59.4,160.8,414.9,954.2,442.8,131.2,251.7,163.1,86.0,2708.0,34.1,230.0,1943.1,500.8,Medium,1943.1,230.10000000000002,414.79999999999995,120.10000000000001,0.7175406203840472,-0.5152370143762306,2741.6
KERALA,1907,18.8,4.8,55.7,170.8,101.4,770.9,760.4,981.5,225.0,309.7,219.1,52.8,3671.1,23.7,328.0,2737.8,581.7,High,2737.8,327.9,528.8,76.39999999999999,0.7457710223093896,1.7663838812565444,2708.0
KERALA,1908,8.0,20.8,38.2,102.9,142.6,592.6,902.2,352.9,175.9,253.3,47.9,11.0,2648.3,28.8,283.7,2023.6,312.2,Medium,2023.6000000000004,283.70000000000005,301.2,39.8,0.7641128270966281,-0.6566686076368228,3671.1
KERALA,1909,54.1,11.8,61.3,93.8,473.2,704.7,782.3,258.0,195.4,212.1,171.1,32.3,3050.2,65.9,628.3,1940.4,415.5,Medium,1940.4,628.3,383.2,98.2,0.6361550062290998,0.29544793057812024,2648.3
KERALA,1910,2.7,25.7,23.3,124.5,148.8,680.0,484.1,473.8,248.6,356.6,280.4,0.1,2848.6,28.4,296.7,1886.5,637.0,Medium,1886.4999999999998,296.6,637.0,28.5,0.6622551428772028,-0.1821502134978504,3050.2
KERALA,1911,3.0,4.3,18.2,51.0,180.6,990.0,705.3,178.6,60.2,302.3,145.7,87.6,2726.7,7.3,249.7,1934.0,535.7,Medium,1934.1,249.8,448.0,94.89999999999999,0.709318956980966,-0.4709359960517238,2848.6
KERALA,1912,1.9,15.0,11.2,122.7,217.3,948.2,833.6,534.4,136.8,469.5,138.7,22.0,3451.3,16.9,351.1,2453.1,630.2,High,2453.0000000000005,351.20000000000005,608.2,38.9,0.7107466751658796,1.2456692380626047,2726.7
KERALA,1913,3.1,5.2,20.7,75.7,198.8,541.7,763.2,247.2,176.9,422.5,109.9,45.8,2610.8,8.3,295.2,1729.0,578.3,Low,1729.0000000000002,295.20000000000005,532.4,54.1,0.6622491190439712,-0.7455075481271447,3451.3
KERALA,1914,0.7,6.8,18.1,32.7,164.2,565.3,857.7,402.2,241.0,374.4,100.9,135.2,2899.1,7.6,215.0,2066.1,610.5,Medium,2066.2,215.0,475.29999999999995,142.7,0.7127039426028767,-0.06251377363755016,2610.8
KERALA,1915,16.9,23.5,42.7,106.0,154.5,696.1,775.6,298.8,396.6,196.6,302.5,14.9,3024.5,40.4,303.1,2167.0,514.0,Medium,2167.1,303.2,499.1,55.3,0.7165151264671846,0.23456364336208665,2899.1
KERALA,1916,0.0,7.8,22.0,82.4,199.0,920.2,513.9,396.9,339.3,320.7,134.3,8.9,2945.3,7.8,303.4,2170.2,463.9,Medium,2170.3,303.4,455.0,16.7,0.7368689097884765,0.04693580104652713,3024.5
KERALA,1917,2.9,47.6,79.4,38.1,122.9,703.7,342.7,335.1,470.3,264.1,256.4,41.6,2704.8,50.5,240.4,1851.7,562.1,Medium,1851.8,240.4,520.5,92.1,0.6846347234545992,-0.522817937298071,2945.3
KERALA,1918,42.9,5.0,32.8,51.3,683.0,464.3,167.5,376.0,96.4,233.2,295.4,54.1,2501.9,47.9,767.0,1104.3,582.6,Low,1104.2,767.1,528.5999999999999,102.0,0.44134457812062833,-1.0034958313110398,2704.8
KERALA,1919,43.0,6.1,33.9,65.9,247.0,636.8,648.0,484.2,255.9,249.2,280.1,53.0,3003.3,49.2,346.8,2025.0,582.3,Medium,2024.9,346.8,529.3,102.1,0.6742250191456065,0.18434002900489174,2501.9
KERALA,1920,35.2,5.5,24.1,172.0,87.7,964.3,940.8,235.0,178.0,350.1,302.3,8.2,3303.1,40.6,283.7,2318.2,660.6,High,2318.1,283.8,652.4000000000001,48.900000000000006,0.7017952832187945,0.8945777452448517,3003.3
KERALA,1921,43.0,4.7,15.0,171.3,104.1,489.1,639.8,641.9,156.7,302.4,136.2,15.8,2719.9,47.8,290.3,1927.5,454.3,Medium,1927.5000000000002,290.4,438.59999999999997,63.5,0.7086657597705799,-0.4870454572606349,3303.1
KERALA,1922,30.5,21.4,16.3,89.6,293.6,663.1,1025.1,320.6,222.4,266.3,293.7,25.1,3267.6,51.9,399.4,2231.2,585.1,High,2231.2,399.5,560.0,77.0,0.6828253152160607,0.8104768815806802,2719.9
KERALA,1923,24.7,0.7,78.9,43.5,80.0,722.5,1008.7,943.0,254.3,203.1,83.9,41.6,3484.7,25.3,202.3,2928.4,328.6,High,2928.5,202.4,287.0,67.0,0.8403879817487876,1.3247951210593172,3267.6
KERALA,1924,19.3,2.9,66.6,111.0,185.4,1011.7,1526.5,624.0,289.1,176.5,162.9,50.4,4226.4,22.2,363.0,3451.3,389.9,High,3451.2999999999997,363.0,339.4,72.60000000000001,0.8166051485898164,3.081910912037231,3484.7
KERALA,1925,4.1,16.5,76.9,93.4,258.2,688.8,593.5,554.1,158.8,295.4,223.7,98.8,3062.1,20.5,428.5,1995.2,617.9,Medium,1995.2,428.5,519.0999999999999,119.39999999999999,0.6515789817445544,0.3236394876937159,4226.4
